,SecurityID,p,q,v_mu,omega,alpha1,alpha2,beta1,beta2
0,64589,1,1,0.002937012111452585,0.0001968125410427183,1.6472697550321157e-11,1.3611738743845048e-11,0.27477552727223314,0.37265627848016114
0,64588,1,0,0.0022376639167546604,6.6609649875733765e-06,2.3569610424675056e-10,2.729860393156305e-10,0.9999933617331548,6.611511439547622e-06
0,64587,1,0,0.004094708566910171,0.000584446421277731,0.5991372490159623,2.340154900948633e-14,1.2175754724321663e-14,2.500411297416073e-15
0,64586,2,0,0.0031635719419590555,0.0009203193209081185,0.0,0.16317452329925183,0.3505137357395288,0.0
0,64585,2,0,0.004180257996888542,0.0012765843106918979,2.327794831169842e-14,0.675850559470834,0.04765155960820612,2.514002162261498e-14
0,64584,1,0,-0.0013792129851972089,0.0001665682853900508,0.19924678274934912,0.1548835040575005,0.08590704302968287,0.5599626701633225
0,64583,1,0,-0.002813380831580107,0.0004135155824095258,0.47415909720256955,2.5771681353381448e-11,3.589201055192378e-11,3.8667765038990486e-11
0,64582,1,0,-0.0006351000465888682,0.000865183387487881,0.5055462836336069,0.47983466103243877,0.0,0.014619123571376907
0,64581,2,0,-0.0003104675318601846,0.0026433979774294148,0.4100801063501302,0.47248495552430503,1.753142446625787e-14,2.8024737533320843e-14
0,64555,1,0,-0.0020838904298062406,2.7650707726416455e-06,4.046503370914314e-09,2.682088674736394e-09,0.9999607336334759,3.926236966635912e-05
0,64554,2,0,-0.008233783140718431,0.00027521807649026647,0.0,0.620913977752513,0.37908621627321687,0.0
0,64553,1,0,-0.002542850127248924,1.5779650621543138e-06,0.0,0.0,1.0,0.0
0,64552,1,1,-1.4436582625411092e-05,1.3605281415445547e-05,0.004999971901757046,0.004999971901757046,0.445000392968674,0.44500025800787585
0,64551,2,0,-0.003868433344458199,0.00018589011238364639,0.1455263799354713,1.3322676296325832e-15,2.230389430602254e-16,5.178988788820519e-16
0,64550,1,1,-0.0032600996705081575,6.258406597542584e-06,1.1570802890247616e-13,1.3873953448356292e-13,0.012060389159203055,0.9879396108384573
0,64549,1,0,-0.00859112352017382,9.351934791609728e-05,0.001292691713374203,0.006864917286191399,0.09322640321695498,0.7965141540723814
0,64537,2,0,-0.0014981897091191584,8.751998567513754e-05,1.1040308510329838e-16,0.25421732257656754,0.016203834037358523,0.0
0,64536,2,0,-0.0019276912850575032,6.44756358294976e-05,0.39000178963818116,0.313081269900947,0.03806469279734052,0.0
0,64529,1,0,-0.003936338140842408,7.933544058898368e-05,0.791613009903428,0.0,0.15934762208114733,0.04903956198235242
0,64515,1,0,0.0014216469200922322,3.923278885943916e-05,5.007905697490886e-11,5.029915155347726e-11,0.37338832309135167,0.4070734176716983
0,64514,1,0,0.0028132921763612765,0.00013548458384332303,0.3476919152316301,0.0,0.0,0.09246101424603709
0,64469,1,0,0.0025041338183575805,1.8479417445766228e-05,0.00499995,0.00499995,0.44499555,0.44499555
0,64468,1,0,0.01225686603267962,0.006824871503499967,3.9106635529165385e-09,0.24237223244947068,0.1414208473379105,1.9593392790351322e-07
0,64465,2,0,0.0007561762177534662,0.00018141134026958286,1.3221539320839865e-10,0.9999999919896234,4.887788001982491e-10,2.3321662787613928e-09
0,64375,1,0,-0.00038291875493596774,0.00025608807627530055,0.07736630696464558,0.06955638967940002,0.30613897219553293,6.275237756516826e-13
0,64372,1,0,0.008496398987845821,0.003368700707667314,0.030751857575139246,0.022135759306852673,1.2765318163799103e-11,1.2861622087859355e-11
0,64369,2,0,0.0006249550611156174,5.2656799851177545e-05,0.4887574769371955,0.5112425230626473,0.0,0.0
0,64368,1,0,-0.000849368884223153,4.676005401517115e-05,0.27107438490346436,0.08099143955379241,0.1214871584947166,0.12148715828458641
0,64364,1,0,0.0020162899801369075,0.00022314059406828784,0.07557029345590234,0.09888774369908507,0.2043399479382362,5.379900931804652e-16
0,64363,1,1,0.00081321753524191,2.8896513252423058e-05,0.005,0.005,0.345,0.345
0,64362,1,1,-0.0015197050054117328,0.00012663570594018768,0.05,0.05,0.3,0.3
0,64361,1,1,-0.0034354996434158348,2.09458261873412e-05,1.0251808823228033e-13,0.2130514296672659,1.3777018392570243e-06,0.7869471926309083
0,64351,1,0,0.004295886143353306,0.0009348915005112545,0.03732310409116086,5.606432426005619e-10,3.704282416757264e-07,0.4221686594839139
0,64333,1,0,-0.006577279854180932,0.00017823935060314278,0.4357144339509778,0.17114792464569856,1.8054960630844104e-15,7.133628181899257e-15
0,64332,1,1,-0.003305380235770105,4.448280090687743e-05,0.005,0.005,0.345,0.345
0,64331,1,1,-0.004452811805638528,6.683579718373773e-05,4.119295896179564e-09,3.905342617448478e-09,0.8250213066753639,0.00018007328308627647
0,64330,1,0,-0.0011515272482491331,0.0004581562287669436,0.18169267004319248,0.24903902517529145,0.03558881113305088,0.0
