,SecurityID,Sector,Industry,Sub_Industry,Seniority,Issuedby,Country,Rating
151,56197,Energy,Exploration & Production,Oil Comp-Explor&Prodtn,Sr Unsecured,NOSTRUM OIL & GAS FINANCE BV,KZ,CCC+
152,56198,Energy,Exploration & Production,Oil Comp-Explor&Prodtn,Sr Unsecured,NOSTRUM OIL & GAS FINANCE BV,KZ,CCC+
153,56201,Energy,Power Generation,Electric-Generation,Sr Unsecured,COLBUN SA,CL,BBB
154,56203,Energy,Utilities,Electric-Distribution,Sr Unsecured,COMISION FEDERAL DE ELECTRICIDAD,MX,BBB+
155,56204,Energy,Power Generation,Independ Power Producer,Secured,COMETA ENERGIA SA DE CV,MX,Not Founded
156,56205,Energy,Utilities,Electric-Distribution,Sr Unsecured,COMISION FEDERAL DE ELECTRICIDAD,MX,BBB+
157,56206,Energy,Utilities,Electric-Distribution,Sr Unsecured,COMISION FEDERAL DE ELECTRICIDAD,MX,BBB+
158,56208,Energy,Utilities,Water,Sr Unsecured,CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,BR,BB-
159,56209,Energy,Utilities,Electric-Transmission,Sr Unsecured,CIA DE TRANSPORTE DE ENERGIA ELECTRICA EN ALTA TENSION TRANSENER SA,AR,B
160,56210,Basic Materials,Metals & Mining,Metal-Aluminum,Sr Unsecured,CIA BRASILEIRA DE ALUMINIO,BR,BBB-
161,56211,Energy,Exploration & Production,Oil Comp-Explor&Prodtn,Sr Unsecured,CIA GENERAL DE COMBUSTIBLES SA,AR,B-
162,56214,Energy,Utilities,Electric-Integrated,Sr Unsecured,ORAZUL ENERGY EGENOR SCA,PE,BB
163,56215,Energy,Utilities,Electric-Integrated,Sr Unsecured,PAMPA ENERGIA SA,AR,B-
164,56228,Energy,Utilities,Electric-Integrated,Sr Unsecured,PAMPA ENERGIA SA,AR,B-
165,56233,Basic Materials,Metals & Mining,Metal-Iron,1st Lien Secured,CLEVELAND-CLIFFS INC,US,BB
166,56237,Communications,Communications Equipment,Telecommunication Equip,Sr Unsecured,COMMSCOPE INC,US,B-
167,56239,Communications,Communications Equipment,Telecommunication Equip,Sr Unsecured,COMMSCOPE TECHNOLOGIES LLC,US,B-
168,56243,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
169,56244,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
170,56246,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
171,56248,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
172,56249,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
173,56255,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
174,56256,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
175,56260,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
176,56264,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
177,56265,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
178,56266,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
179,56268,Communications,Entertainment Content,Multimedia,Sr Unsecured,WALT DISNEY CO/THE,US,A
180,56271,Financials,Financial Services,Invest Mgmnt/Advis Serv,Sr Unsecured,NUVEEN LLC,US,AA
181,56272,Communications,Wireline Telecommunications Services,Computer Services,Sr Unsecured,WEST CORP,US,Not Founded
182,56276,Basic Materials,Containers & Packaging,Containers-Metal/Glass,Sr Unsecured,OWENS-BROCKWAY GLASS CONTAINER INC,US,B+
183,56277,Basic Materials,Containers & Packaging,Containers-Metal/Glass,Sr Unsecured,OWENS-BROCKWAY GLASS CONTAINER INC,US,B+
184,56280,Energy,Utilities,Electric-Integrated,Sr Unsecured,PACIFIC GAS & ELECTRIC CO,US,AAA
185,56281,Energy,Utilities,Electric-Integrated,Sr Unsecured,PACIFIC GAS & ELECTRIC CO,US,AAA
186,56283,Basic Materials,Chemicals,Chemicals-Specialty,1st Lien Secured,PQ CORP,US,BB-
187,56285,Basic Materials,Containers & Packaging,Containers-Metal/Glass,Sr Unsecured,OWENS-BROCKWAY GLASS CONTAINER INC,US,B+
188,56289,Energy,Power Generation,Energy-Alternate Sources,Sr Unsecured,PATTERN ENERGY GROUP INC,US,BB-
189,56305,Financials,Life Insurance,Life/Health Insurance,Secured,PRICOA GLOBAL FUNDING I,US,AA-
190,56311,Financials,Financial Services,Finance-Other Services,Sr Unsecured,POWER SECTOR ASSETS & LIABILITIES MANAGEMENT CORP,PH,BBB+
191,56312,Basic Materials,Metals & Mining,Diversified Operations,Sr Unsecured,ABM INVESTAMA TBK PT,ID,Not Founded
192,56313,Industrials,Transportation & Logistics,Transport-Marine,Sr Unsecured,PELABUHAN INDONESIA II PT,ID,BBB
193,56314,Industrials,Transportation & Logistics,Transport-Marine,Sr Unsecured,PELABUHAN INDONESIA II PT,ID,BBB
