,DATE,ICERATES1100USD3Y,swap_change
881,2019-01-02,2.605,-0.0049656226126815195
883,2019-01-04,2.572,-0.012667946257197693
884,2019-01-07,2.5860000000000003,0.005443234836703059
885,2019-01-08,2.639,0.020494972931167643
886,2019-01-09,2.653,0.0053050397877985045
887,2019-01-10,2.64,-0.004900113079532531
888,2019-01-11,2.628,-0.004545454545454519
889,2019-01-14,2.638,0.003805175038051667
890,2019-01-15,2.636,-0.0007581501137224889
891,2019-01-16,2.6630000000000003,0.010242792109256493
892,2019-01-17,2.6689999999999996,0.0022530980097632547
893,2019-01-18,2.721,0.019482952416635557
895,2019-01-22,2.6919999999999997,-0.01065784638000744
896,2019-01-23,2.688,-0.0014858841010400026
897,2019-01-24,2.66,-0.01041666666666663
898,2019-01-25,2.688,0.010526315789473717
899,2019-01-28,2.6839999999999997,-0.0014880952380954549
900,2019-01-29,2.657,-0.010059612518628747
901,2019-01-30,2.668,0.004140007527286382
902,2019-01-31,2.569,-0.03710644677661179
903,2019-02-01,2.6039999999999996,0.013623978201634745
904,2019-02-04,2.6319999999999997,0.010752688172043001
905,2019-02-05,2.6189999999999998,-0.004939209726443683
906,2019-02-06,2.61,-0.0034364261168384758
907,2019-02-07,2.573,-0.014176245210727911
908,2019-02-08,2.546,-0.010493587252234815
909,2019-02-11,2.569,0.00903377847604081
910,2019-02-12,2.588,0.007395873880887471
911,2019-02-13,2.614,0.010046367851622717
912,2019-02-14,2.58,-0.013006885998469664
913,2019-02-15,2.6,0.007751937984496138
915,2019-02-19,2.559,-0.015769230769230758
916,2019-02-20,2.56,0.0003907776475184921
917,2019-02-21,2.5839999999999996,0.009374999999999911
918,2019-02-22,2.555,-0.011222910216718063
919,2019-02-25,2.553,-0.0007827788649706902
920,2019-02-26,2.521,-0.012534273403838614
921,2019-02-27,2.535,0.005553351844506338
922,2019-02-28,2.576,0.01617357001972386
923,2019-03-01,2.589,0.005046583850931707
924,2019-03-04,2.5989999999999998,0.0038624951718808642
925,2019-03-05,2.612,0.005001923816852827
926,2019-03-06,2.585,-0.010336906584992422
927,2019-03-07,2.545,-0.015473887814313358
928,2019-03-08,2.531,-0.005500982318271008
929,2019-03-11,2.541,0.003951007506914239
930,2019-03-12,2.52,-0.008264462809917328
931,2019-03-13,2.515,-0.001984126984126977
932,2019-03-14,2.512,-0.0011928429423460063
933,2019-03-15,2.488,-0.009554140127388533
934,2019-03-18,2.504,0.006430868167202508
935,2019-03-19,2.502,-0.0007987220447285281
936,2019-03-20,2.485,-0.006794564348521104
937,2019-03-21,2.42,-0.026156941649899346
938,2019-03-22,2.327,-0.03842975206611565
939,2019-03-25,2.276,-0.021916630855178365
940,2019-03-26,2.275,-0.0004393673110719698
941,2019-03-27,2.1919999999999997,-0.036483516483516554
942,2019-03-28,2.253,0.027828467153284908
943,2019-03-29,2.307,0.023968042609853413
944,2019-04-01,2.364,0.024707412223667014
945,2019-04-02,2.3480000000000003,-0.006768189509306133
946,2019-04-03,2.371,0.009795570698466705
947,2019-04-04,2.377,0.002530577815267776
948,2019-04-05,2.371,-0.0025241901556583013
949,2019-04-08,2.374,0.001265288907633888
950,2019-04-09,2.365,-0.0037910699241785473
951,2019-04-10,2.338,-0.011416490486258035
952,2019-04-11,2.363,0.010692899914456655
953,2019-04-12,2.416,0.022429115531104493
954,2019-04-15,2.432,0.0066225165562914245
955,2019-04-16,2.441,0.0037006578947367252
956,2019-04-17,2.4459999999999997,0.002048340843916474
957,2019-04-18,2.417,-0.011856091578086647
959,2019-04-22,2.42,0.0012412081092263438
960,2019-04-23,2.3890000000000002,-0.012809917355371736
961,2019-04-24,2.35,-0.01632482210129771
962,2019-04-25,2.351,0.00042553191489358433
963,2019-04-26,2.3209999999999997,-0.012760527435134117
964,2019-04-29,2.338,0.007324429125377119
965,2019-04-30,2.3209999999999997,-0.007271171941830801
966,2019-05-01,2.309,-0.005170185264971816
967,2019-05-02,2.386,0.03334776959722818
968,2019-05-03,2.373,-0.005448449287510426
969,2019-05-06,2.34,-0.01390644753476622
970,2019-05-07,2.316,-0.01025641025641022
971,2019-05-08,2.3040000000000003,-0.005181347150258864
972,2019-05-09,2.274,-0.013020833333333481
973,2019-05-10,2.266,-0.0035180299032542273
974,2019-05-13,2.202,-0.028243601059135037
975,2019-05-14,2.2119999999999997,0.004541326067211582
976,2019-05-15,2.176,-0.016274864376130016
977,2019-05-16,2.208,0.014705882352941124
978,2019-05-17,2.208,0.0
979,2019-05-20,2.204,-0.0018115942028985588
980,2019-05-21,2.249,0.02041742286751358
981,2019-05-22,2.213,-0.01600711427301027
982,2019-05-23,2.1430000000000002,-0.03163126976954356
983,2019-05-24,2.115,-0.013065795613625752
985,2019-05-28,2.092,-0.010874704491725784
986,2019-05-29,2.032,-0.028680688336520155
987,2019-05-30,2.077,0.022145669291338654
988,2019-05-31,1.956,-0.05825710158883002
989,2019-06-03,1.89,-0.033742331288343586
990,2019-06-04,1.899,0.004761904761904745
992,2019-06-06,1.831,-0.035808320168509766
993,2019-06-07,1.818,-0.007099945385035444
994,2019-06-10,1.899,0.044554455445544594
995,2019-06-11,1.926,0.014218009478673022
996,2019-06-12,1.857,-0.03582554517133951
997,2019-06-13,1.838,-0.010231556273559428
998,2019-06-14,1.81,-0.015233949945593017
999,2019-06-17,1.82,0.005524861878453136
1000,2019-06-18,1.796,-0.013186813186813251
1001,2019-06-19,1.86,0.03563474387527843
1002,2019-06-20,1.669,-0.10268817204301073
1003,2019-06-21,1.7630000000000001,0.05632115038945473
