SecurityID,2019/2/28,2019/4/30,2019/6/30,2019/8/31,2019/10/31,2019/12/31
109,Cluster 0,Cluster 10,Cluster 1,Cluster 7,Cluster 21,Cluster 12
135,Cluster 0,Cluster 6,Cluster 3,Cluster 21,Cluster 5,Cluster 11
160,Cluster 0,Cluster 23,Cluster 1,Cluster 16,Cluster 22,Cluster 12
267,Cluster 0,Cluster 9,Cluster 4,Cluster 16,Cluster 15,Cluster 12
339,Cluster 0,Cluster 5,Cluster 6,Cluster 19,Cluster 5,Cluster 1
1858,Cluster 0,Cluster 7,Cluster 7,Cluster 7,Cluster 15,Cluster 2
1861,Cluster 0,Cluster 8,Cluster 22,Cluster 15,Cluster 22,Cluster 21
1895,Cluster 0,Cluster 9,Cluster 13,Cluster 20,Cluster 19,Cluster 21
1903,Cluster 0,Cluster 8,Cluster 12,Cluster 20,Cluster 9,Cluster 12
1956,Cluster 0,Cluster 21,Cluster 11,Cluster 12,Cluster 5,Cluster 15
1966,Cluster 0,Cluster 12,Cluster 3,Cluster 4,Cluster 16,Cluster 1
2035,Cluster 0,Cluster 14,Cluster 12,Cluster 1,Cluster 6,Cluster 14
2039,Cluster 0,Cluster 21,Cluster 21,Cluster 6,Cluster 12,Cluster 7
2041,Cluster 0,Cluster 6,Cluster 19,Cluster 20,Cluster 5,Cluster 12
2046,Cluster 0,Cluster 22,Cluster 22,Cluster 8,Cluster 22,Cluster 8
2048,Cluster 0,Cluster 14,Cluster 12,Cluster 19,Cluster 5,Cluster 7
2050,Cluster 0,Cluster 12,Cluster 23,Cluster 20,Cluster 20,Cluster 8
2061,Cluster 0,Cluster 7,Cluster 6,Cluster 8,Cluster 22,
2062,Cluster 0,Cluster 22,Cluster 14,Cluster 6,Cluster 22,Cluster 6
2065,Cluster 0,Cluster 1,Cluster 2,Cluster 6,Cluster 5,Cluster 12
2077,Cluster 0,Cluster 10,Cluster 2,Cluster 19,Cluster 2,Cluster 19
2089,Cluster 0,Cluster 22,Cluster 2,Cluster 6,Cluster 5,Cluster 6
2094,Cluster 0,Cluster 8,Cluster 2,Cluster 23,Cluster 5,Cluster 7
2097,Cluster 0,Cluster 3,Cluster 1,Cluster 20,Cluster 21,Cluster 22
2110,Cluster 0,Cluster 22,Cluster 23,Cluster 13,Cluster 6,Cluster 6
2111,Cluster 0,Cluster 5,Cluster 3,Cluster 5,Cluster 15,Cluster 19
2121,Cluster 0,Cluster 23,Cluster 22,Cluster 6,Cluster 22,Cluster 19
2149,Cluster 0,Cluster 11,Cluster 4,Cluster 6,Cluster 20,Cluster 6
2152,Cluster 0,Cluster 10,Cluster 2,Cluster 23,Cluster 5,Cluster 1
2161,Cluster 0,Cluster 16,Cluster 5,Cluster 0,Cluster 21,Cluster 19
2178,Cluster 0,Cluster 9,Cluster 7,Cluster 8,Cluster 8,Cluster 19
2179,Cluster 0,Cluster 10,Cluster 22,Cluster 20,Cluster 22,Cluster 12
2287,Cluster 0,Cluster 17,Cluster 17,Cluster 6,Cluster 9,Cluster 13
2299,Cluster 0,Cluster 22,Cluster 4,Cluster 20,Cluster 22,Cluster 5
2349,Cluster 0,Cluster 17,Cluster 2,Cluster 23,Cluster 21,Cluster 5
2357,Cluster 0,Cluster 23,Cluster 4,Cluster 6,Cluster 8,Cluster 13
2364,Cluster 0,Cluster 6,Cluster 1,Cluster 20,Cluster 21,Cluster 6
2365,Cluster 0,Cluster 21,Cluster 7,Cluster 1,Cluster 23,Cluster 19
2439,Cluster 0,Cluster 8,Cluster 4,Cluster 6,Cluster 22,Cluster 3
2460,Cluster 0,Cluster 17,Cluster 22,Cluster 20,Cluster 9,Cluster 7
2500,Cluster 0,Cluster 6,Cluster 13,Cluster 7,Cluster 14,Cluster 19
2502,Cluster 0,Cluster 22,Cluster 22,Cluster 23,Cluster 9,Cluster 13
2504,Cluster 0,Cluster 10,Cluster 2,Cluster 4,Cluster 9,Cluster 21
2517,Cluster 0,Cluster 19,Cluster 18,Cluster 4,Cluster 18,Cluster 4
2568,Cluster 0,Cluster 3,Cluster 1,Cluster 19,Cluster 5,Cluster 5
2569,Cluster 0,Cluster 6,Cluster 4,Cluster 19,Cluster 5,Cluster 5
2837,Cluster 0,Cluster 22,Cluster 22,Cluster 20,Cluster 22,Cluster 19
2874,Cluster 0,Cluster 7,Cluster 2,Cluster 3,Cluster 22,Cluster 3
2922,Cluster 0,Cluster 22,Cluster 1,Cluster 1,Cluster 22,Cluster 8
3023,Cluster 0,Cluster 22,Cluster 1,Cluster 23,Cluster 8,Cluster 6
3040,Cluster 0,Cluster 10,Cluster 9,Cluster 8,Cluster 19,Cluster 18
3045,Cluster 0,Cluster 21,Cluster 14,Cluster 23,Cluster 7,Cluster 8
3172,Cluster 0,Cluster 22,Cluster 4,Cluster 20,Cluster 15,Cluster 6
3219,Cluster 0,Cluster 14,Cluster 17,Cluster 12,Cluster 12,Cluster 10
3292,Cluster 0,Cluster 22,Cluster 6,Cluster 1,Cluster 5,Cluster 19
3356,Cluster 0,Cluster 12,Cluster 19,Cluster 19,Cluster 5,Cluster 1
3385,Cluster 0,Cluster 11,Cluster 11,Cluster 8,Cluster 15,Cluster 3
3413,Cluster 0,Cluster 16,Cluster 1,Cluster 23,Cluster 2,Cluster 4
3524,Cluster 0,Cluster 22,Cluster 7,Cluster 23,Cluster 22,Cluster 12
3604,Cluster 0,Cluster 17,Cluster 22,Cluster 6,Cluster 21,Cluster 7
3625,Cluster 0,Cluster 7,Cluster 2,Cluster 9,Cluster 5,Cluster 5
3636,Cluster 0,Cluster 8,Cluster 4,Cluster 3,Cluster 22,Cluster 5
3770,Cluster 0,Cluster 22,Cluster 4,Cluster 12,Cluster 2,Cluster 20
3805,Cluster 0,Cluster 23,Cluster 23,Cluster 9,Cluster 14,Cluster 3
3942,Cluster 0,Cluster 10,Cluster 1,Cluster 3,Cluster 21,Cluster 22
4029,Cluster 0,Cluster 8,Cluster 9,Cluster 23,Cluster 8,Cluster 17
4069,Cluster 0,Cluster 5,Cluster 7,Cluster 1,Cluster 22,Cluster 19
4113,Cluster 0,Cluster 16,Cluster 16,Cluster 16,Cluster 10,Cluster 20
4280,Cluster 0,Cluster 4,Cluster 23,Cluster 22,Cluster 21,Cluster 14
4293,Cluster 0,Cluster 0,Cluster 7,Cluster 0,Cluster 18,Cluster 15
4317,Cluster 0,Cluster 14,Cluster 17,Cluster 12,Cluster 5,Cluster 13
4324,Cluster 0,Cluster 6,Cluster 7,Cluster 21,Cluster 16,Cluster 22
4332,Cluster 0,Cluster 5,Cluster 23,Cluster 23,Cluster 5,Cluster 19
4349,Cluster 0,Cluster 1,Cluster 4,Cluster 23,Cluster 20,Cluster 13
4395,Cluster 0,Cluster 10,Cluster 7,Cluster 18,Cluster 21,Cluster 1
4404,Cluster 0,Cluster 15,Cluster 11,Cluster 20,Cluster 23,Cluster 2
4443,Cluster 0,Cluster 19,Cluster 13,Cluster 3,Cluster 22,Cluster 15
4444,Cluster 0,Cluster 11,Cluster 23,Cluster 15,Cluster 5,Cluster 5
4461,Cluster 0,Cluster 8,Cluster 2,Cluster 20,Cluster 15,Cluster 22
4486,Cluster 0,Cluster 0,Cluster 7,Cluster 12,Cluster 16,Cluster 19
4562,Cluster 0,Cluster 15,Cluster 15,Cluster 22,Cluster 8,Cluster 9
4600,Cluster 0,Cluster 7,Cluster 11,Cluster 1,Cluster 9,Cluster 1
4675,Cluster 0,Cluster 6,Cluster 20,Cluster 6,Cluster 16,Cluster 6
4698,Cluster 0,Cluster 3,Cluster 1,Cluster 4,Cluster 5,Cluster 2
4746,Cluster 0,Cluster 9,Cluster 2,Cluster 22,Cluster 20,Cluster 10
4788,Cluster 0,Cluster 7,Cluster 21,Cluster 12,Cluster 4,Cluster 22
4827,Cluster 0,Cluster 0,Cluster 1,Cluster 23,Cluster 10,Cluster 12
4829,Cluster 0,Cluster 16,Cluster 23,Cluster 6,Cluster 5,Cluster 15
4845,Cluster 0,Cluster 19,Cluster 22,Cluster 16,,
4905,Cluster 0,Cluster 2,Cluster 6,Cluster 3,Cluster 7,Cluster 12
4960,Cluster 0,Cluster 5,Cluster 5,Cluster 20,Cluster 2,Cluster 10
5065,Cluster 0,Cluster 9,Cluster 13,Cluster 22,Cluster 21,Cluster 8
5075,Cluster 0,Cluster 17,Cluster 4,Cluster 16,Cluster 5,Cluster 7
5115,Cluster 0,Cluster 7,Cluster 3,Cluster 16,Cluster 6,Cluster 19
5174,Cluster 0,Cluster 5,Cluster 21,Cluster 12,Cluster 12,Cluster 13
5190,Cluster 0,Cluster 12,Cluster 5,Cluster 16,Cluster 1,Cluster 6
5203,Cluster 0,Cluster 9,Cluster 8,Cluster 0,Cluster 2,Cluster 9
5213,Cluster 0,Cluster 5,Cluster 19,Cluster 23,Cluster 20,Cluster 11
5249,Cluster 0,Cluster 17,Cluster 13,Cluster 0,Cluster 9,Cluster 3
5480,Cluster 0,Cluster 17,Cluster 1,Cluster 4,Cluster 19,Cluster 7
5486,Cluster 0,Cluster 5,Cluster 0,Cluster 0,Cluster 17,Cluster 18
5488,Cluster 0,Cluster 11,Cluster 8,Cluster 12,Cluster 12,Cluster 21
5491,Cluster 0,Cluster 21,Cluster 7,Cluster 20,Cluster 19,Cluster 1
5492,Cluster 0,Cluster 7,Cluster 12,Cluster 1,Cluster 2,Cluster 22
5497,Cluster 0,Cluster 6,Cluster 16,Cluster 4,Cluster 18,Cluster 19
5506,Cluster 0,Cluster 21,Cluster 5,Cluster 5,Cluster 2,Cluster 15
5507,Cluster 0,Cluster 15,Cluster 7,Cluster 8,Cluster 15,Cluster 3
5520,Cluster 0,Cluster 15,Cluster 4,Cluster 0,Cluster 7,Cluster 18
5610,Cluster 0,Cluster 10,Cluster 11,Cluster 1,Cluster 5,Cluster 13
5624,Cluster 0,Cluster 10,Cluster 19,Cluster 2,Cluster 20,Cluster 11
5628,Cluster 0,Cluster 15,Cluster 7,Cluster 16,Cluster 2,Cluster 21
5631,Cluster 0,Cluster 14,Cluster 6,Cluster 13,Cluster 14,Cluster 13
5687,Cluster 0,Cluster 9,Cluster 5,Cluster 3,Cluster 20,Cluster 12
5688,Cluster 0,Cluster 17,Cluster 7,Cluster 23,Cluster 4,Cluster 1
5718,Cluster 0,Cluster 17,Cluster 13,Cluster 6,Cluster 8,Cluster 6
5737,Cluster 0,Cluster 23,Cluster 2,Cluster 3,Cluster 15,Cluster 21
5758,Cluster 0,Cluster 2,Cluster 9,Cluster 20,Cluster 0,Cluster 2
5760,Cluster 0,Cluster 5,Cluster 12,Cluster 19,Cluster 21,Cluster 5
5765,Cluster 0,Cluster 9,Cluster 2,Cluster 20,Cluster 5,Cluster 8
5781,Cluster 0,Cluster 22,Cluster 12,Cluster 12,Cluster 7,Cluster 14
5870,Cluster 0,Cluster 3,Cluster 21,Cluster 16,Cluster 15,Cluster 20
5921,Cluster 0,Cluster 6,Cluster 7,Cluster 6,Cluster 2,Cluster 7
5965,Cluster 0,Cluster 9,Cluster 1,Cluster 2,Cluster 22,Cluster 8
5972,Cluster 0,Cluster 23,Cluster 11,Cluster 9,Cluster 10,Cluster 21
6010,Cluster 0,Cluster 22,Cluster 3,Cluster 13,Cluster 5,Cluster 22
6018,Cluster 0,Cluster 12,Cluster 22,Cluster 15,Cluster 22,Cluster 6
6019,Cluster 0,Cluster 21,Cluster 7,Cluster 4,Cluster 22,Cluster 2
6034,Cluster 0,Cluster 22,Cluster 11,Cluster 15,Cluster 5,Cluster 1
6039,Cluster 0,Cluster 12,Cluster 8,Cluster 3,Cluster 22,Cluster 15
6097,Cluster 0,Cluster 5,Cluster 12,Cluster 7,Cluster 7,Cluster 5
6115,Cluster 0,Cluster 22,Cluster 22,Cluster 20,Cluster 22,Cluster 13
6120,Cluster 0,Cluster 23,Cluster 22,Cluster 15,Cluster 15,Cluster 5
6122,Cluster 0,Cluster 23,Cluster 4,Cluster 19,Cluster 4,Cluster 10
6135,Cluster 0,Cluster 16,Cluster 22,Cluster 20,Cluster 15,Cluster 22
6206,Cluster 0,Cluster 15,Cluster 5,Cluster 18,Cluster 5,Cluster 5
6210,Cluster 0,Cluster 14,Cluster 22,Cluster 7,Cluster 22,Cluster 7
6316,Cluster 0,Cluster 18,Cluster 16,Cluster 7,,Cluster 23
6390,Cluster 0,Cluster 11,Cluster 5,Cluster 19,Cluster 5,Cluster 2
6510,Cluster 0,Cluster 18,Cluster 16,Cluster 13,Cluster 13,Cluster 23
6538,Cluster 0,Cluster 11,Cluster 8,Cluster 20,Cluster 5,Cluster 23
6547,Cluster 0,Cluster 17,Cluster 3,Cluster 8,Cluster 1,Cluster 12
6550,Cluster 0,Cluster 0,Cluster 3,Cluster 17,Cluster 8,Cluster 22
6605,Cluster 0,Cluster 14,Cluster 22,Cluster 21,Cluster 9,Cluster 13
6620,Cluster 0,Cluster 0,Cluster 21,Cluster 10,Cluster 5,Cluster 5
6678,Cluster 0,Cluster 6,Cluster 7,Cluster 6,Cluster 22,Cluster 7
6684,Cluster 0,Cluster 2,Cluster 22,Cluster 20,Cluster 22,Cluster 7
6707,Cluster 0,Cluster 22,Cluster 22,Cluster 19,Cluster 5,Cluster 2
6726,Cluster 0,Cluster 22,Cluster 7,Cluster 16,Cluster 21,Cluster 20
6769,Cluster 0,Cluster 23,Cluster 23,Cluster 16,Cluster 16,Cluster 1
6854,Cluster 0,Cluster 16,Cluster 12,Cluster 4,Cluster 1,Cluster 23
6918,Cluster 0,Cluster 1,Cluster 5,Cluster 8,Cluster 21,Cluster 13
6923,Cluster 0,Cluster 7,Cluster 23,Cluster 20,Cluster 8,Cluster 1
6948,Cluster 0,Cluster 7,Cluster 7,Cluster 20,Cluster 22,Cluster 3
6949,Cluster 0,Cluster 12,Cluster 3,Cluster 8,Cluster 7,Cluster 7
6951,Cluster 0,Cluster 10,Cluster 1,Cluster 15,Cluster 2,Cluster 21
6963,Cluster 0,Cluster 21,Cluster 23,Cluster 8,Cluster 9,Cluster 19
7000,Cluster 0,Cluster 5,Cluster 8,Cluster 20,Cluster 2,Cluster 22
7004,Cluster 0,Cluster 7,Cluster 8,Cluster 7,Cluster 5,Cluster 8
7074,Cluster 0,Cluster 8,Cluster 1,Cluster 3,Cluster 12,Cluster 18
7085,Cluster 0,Cluster 7,Cluster 23,Cluster 15,Cluster 5,Cluster 19
7155,Cluster 0,Cluster 16,Cluster 14,Cluster 19,Cluster 17,Cluster 5
7188,Cluster 0,Cluster 16,Cluster 18,Cluster 18,Cluster 5,Cluster 0
7195,Cluster 0,Cluster 23,Cluster 22,Cluster 3,Cluster 21,Cluster 8
7203,Cluster 0,Cluster 0,Cluster 12,Cluster 6,Cluster 19,Cluster 15
7216,Cluster 0,Cluster 19,Cluster 23,Cluster 1,Cluster 4,Cluster 13
7233,Cluster 0,Cluster 1,Cluster 17,Cluster 4,Cluster 10,Cluster 0
7253,Cluster 0,Cluster 7,Cluster 1,Cluster 0,Cluster 8,Cluster 5
7285,Cluster 0,Cluster 5,Cluster 22,Cluster 17,Cluster 17,Cluster 8
7314,Cluster 0,Cluster 14,Cluster 5,Cluster 4,Cluster 17,Cluster 18
7347,Cluster 0,Cluster 3,Cluster 22,Cluster 13,Cluster 7,Cluster 7
7424,Cluster 0,Cluster 12,Cluster 22,Cluster 13,Cluster 21,Cluster 6
7449,Cluster 0,Cluster 8,Cluster 3,Cluster 19,Cluster 18,Cluster 15
7456,Cluster 0,Cluster 17,Cluster 12,Cluster 6,Cluster 22,Cluster 5
7532,Cluster 0,Cluster 5,Cluster 4,Cluster 1,Cluster 22,Cluster 22
7542,Cluster 0,Cluster 21,Cluster 2,Cluster 8,Cluster 21,Cluster 12
7563,Cluster 0,Cluster 5,Cluster 2,Cluster 9,Cluster 18,Cluster 18
7579,Cluster 0,Cluster 22,Cluster 12,Cluster 20,Cluster 21,Cluster 10
7588,Cluster 0,Cluster 1,Cluster 4,Cluster 20,Cluster 12,Cluster 18
7589,Cluster 0,Cluster 17,Cluster 22,Cluster 8,Cluster 22,Cluster 19
7592,Cluster 0,Cluster 17,Cluster 7,Cluster 0,Cluster 22,Cluster 0
7593,Cluster 0,Cluster 17,Cluster 9,Cluster 1,Cluster 19,Cluster 13
7670,Cluster 0,Cluster 23,Cluster 3,Cluster 9,Cluster 15,Cluster 19
7676,Cluster 0,Cluster 5,Cluster 22,Cluster 1,Cluster 22,Cluster 13
7688,Cluster 0,Cluster 23,Cluster 4,Cluster 20,Cluster 0,Cluster 20
7691,Cluster 0,Cluster 12,Cluster 20,Cluster 4,Cluster 19,Cluster 18
7694,Cluster 0,Cluster 10,Cluster 6,Cluster 16,Cluster 22,Cluster 3
7725,Cluster 0,Cluster 6,Cluster 23,Cluster 1,Cluster 10,Cluster 1
7731,Cluster 0,Cluster 22,Cluster 13,Cluster 6,Cluster 7,Cluster 0
7745,Cluster 0,Cluster 9,Cluster 22,Cluster 20,Cluster 5,Cluster 6
7793,Cluster 0,Cluster 22,Cluster 12,Cluster 7,Cluster 21,Cluster 6
7820,Cluster 0,Cluster 5,Cluster 4,Cluster 15,Cluster 7,Cluster 7
7845,Cluster 0,Cluster 22,Cluster 22,Cluster 1,Cluster 22,Cluster 20
7849,Cluster 0,Cluster 1,Cluster 18,Cluster 1,Cluster 10,Cluster 23
7874,Cluster 0,Cluster 15,Cluster 1,Cluster 1,Cluster 11,Cluster 8
7955,Cluster 0,Cluster 23,Cluster 3,Cluster 15,Cluster 1,Cluster 22
7962,Cluster 0,Cluster 21,Cluster 23,Cluster 12,Cluster 17,Cluster 12
8069,Cluster 0,Cluster 15,Cluster 13,Cluster 15,Cluster 2,Cluster 15
8113,Cluster 0,Cluster 17,Cluster 8,Cluster 8,Cluster 22,Cluster 6
8175,Cluster 0,Cluster 17,Cluster 0,Cluster 14,Cluster 11,Cluster 12
8244,Cluster 0,Cluster 15,Cluster 1,Cluster 19,Cluster 5,Cluster 1
8245,Cluster 0,Cluster 15,Cluster 2,Cluster 20,Cluster 23,Cluster 1
8329,Cluster 0,Cluster 22,Cluster 1,Cluster 16,Cluster 22,Cluster 1
8349,Cluster 0,Cluster 14,Cluster 7,Cluster 1,Cluster 23,Cluster 6
8362,Cluster 0,Cluster 22,Cluster 2,Cluster 20,Cluster 21,Cluster 7
8414,Cluster 0,Cluster 18,Cluster 14,Cluster 13,,
8431,Cluster 0,Cluster 9,Cluster 1,Cluster 0,Cluster 8,Cluster 18
8445,Cluster 0,Cluster 22,Cluster 9,Cluster 9,,
8466,Cluster 0,Cluster 3,Cluster 22,Cluster 8,Cluster 21,Cluster 6
8542,Cluster 0,Cluster 18,Cluster 15,Cluster 13,Cluster 10,
8545,Cluster 0,Cluster 10,Cluster 22,Cluster 19,Cluster 2,Cluster 6
8611,Cluster 0,Cluster 21,Cluster 20,Cluster 8,Cluster 1,Cluster 10
8638,Cluster 0,Cluster 22,Cluster 3,Cluster 17,Cluster 21,Cluster 19
8720,Cluster 0,Cluster 23,Cluster 20,Cluster 1,Cluster 23,Cluster 10
8747,Cluster 0,Cluster 2,Cluster 7,Cluster 23,Cluster 22,Cluster 20
8771,Cluster 0,Cluster 6,Cluster 2,Cluster 1,Cluster 22,Cluster 8
8821,Cluster 0,Cluster 1,Cluster 4,Cluster 21,Cluster 6,Cluster 5
8859,Cluster 0,Cluster 12,Cluster 8,Cluster 9,Cluster 6,Cluster 13
8860,Cluster 0,Cluster 5,Cluster 23,Cluster 4,Cluster 15,Cluster 3
8957,Cluster 0,Cluster 6,Cluster 11,Cluster 12,Cluster 14,Cluster 22
9017,Cluster 0,Cluster 12,Cluster 5,Cluster 8,Cluster 15,Cluster 1
9041,Cluster 0,Cluster 21,Cluster 23,Cluster 17,Cluster 1,Cluster 19
9100,Cluster 0,Cluster 12,Cluster 3,Cluster 14,Cluster 21,Cluster 8
9115,Cluster 0,Cluster 19,Cluster 14,Cluster 13,Cluster 13,
9142,Cluster 0,Cluster 12,Cluster 3,Cluster 8,Cluster 15,Cluster 13
9246,Cluster 0,Cluster 7,Cluster 4,Cluster 23,Cluster 5,Cluster 19
9251,Cluster 0,Cluster 9,Cluster 19,Cluster 12,Cluster 4,Cluster 8
9298,Cluster 0,Cluster 10,Cluster 7,Cluster 18,Cluster 9,Cluster 8
9321,Cluster 0,Cluster 13,Cluster 1,Cluster 8,Cluster 9,Cluster 23
9346,Cluster 0,Cluster 20,Cluster 1,Cluster 19,Cluster 23,Cluster 15
9380,Cluster 0,Cluster 1,Cluster 23,Cluster 6,Cluster 5,Cluster 15
9392,Cluster 0,Cluster 6,Cluster 1,Cluster 7,Cluster 14,Cluster 5
9448,Cluster 0,Cluster 9,Cluster 18,Cluster 23,Cluster 23,Cluster 4
9491,Cluster 0,Cluster 23,Cluster 6,Cluster 18,Cluster 7,Cluster 7
9529,Cluster 0,Cluster 12,Cluster 9,Cluster 16,Cluster 15,Cluster 1
9536,Cluster 0,Cluster 10,Cluster 2,Cluster 18,Cluster 22,Cluster 21
9591,Cluster 0,Cluster 13,Cluster 22,Cluster 13,Cluster 21,Cluster 6
9610,Cluster 0,Cluster 8,Cluster 22,Cluster 1,Cluster 6,Cluster 11
9723,Cluster 0,Cluster 11,Cluster 22,Cluster 19,Cluster 8,Cluster 1
9868,Cluster 0,Cluster 1,Cluster 14,Cluster 23,Cluster 13,Cluster 17
9944,Cluster 0,Cluster 8,Cluster 23,Cluster 4,Cluster 19,Cluster 0
9953,Cluster 0,Cluster 8,Cluster 13,Cluster 1,Cluster 16,Cluster 14
9964,Cluster 0,Cluster 17,Cluster 22,Cluster 20,Cluster 8,Cluster 12
10844,Cluster 0,Cluster 23,Cluster 8,Cluster 16,Cluster 14,Cluster 15
10866,Cluster 0,Cluster 22,Cluster 4,Cluster 23,Cluster 22,Cluster 6
10918,Cluster 0,Cluster 9,Cluster 5,Cluster 17,Cluster 4,Cluster 10
10962,Cluster 0,Cluster 12,Cluster 11,Cluster 19,Cluster 22,Cluster 13
10968,Cluster 0,Cluster 10,Cluster 18,Cluster 21,Cluster 19,
11066,Cluster 0,Cluster 5,Cluster 7,Cluster 20,Cluster 11,
11297,Cluster 0,Cluster 23,,Cluster 22,Cluster 8,Cluster 9
11410,Cluster 0,Cluster 3,Cluster 3,Cluster 20,Cluster 10,Cluster 18
11562,Cluster 0,Cluster 6,Cluster 7,Cluster 7,Cluster 16,Cluster 7
11698,Cluster 0,Cluster 9,Cluster 5,Cluster 18,Cluster 4,Cluster 15
11740,Cluster 0,Cluster 17,Cluster 4,Cluster 12,Cluster 21,Cluster 22
11786,Cluster 0,Cluster 10,Cluster 1,Cluster 3,Cluster 15,Cluster 12
11798,Cluster 0,Cluster 21,Cluster 0,Cluster 17,Cluster 1,Cluster 19
11805,Cluster 0,Cluster 14,Cluster 12,Cluster 3,Cluster 21,Cluster 22
11823,Cluster 0,Cluster 21,Cluster 18,Cluster 4,Cluster 10,Cluster 4
11904,Cluster 0,Cluster 2,Cluster 3,Cluster 3,Cluster 4,Cluster 14
11942,Cluster 0,Cluster 13,Cluster 7,Cluster 20,Cluster 10,Cluster 10
12051,Cluster 0,Cluster 14,Cluster 12,Cluster 20,Cluster 17,Cluster 17
12167,Cluster 0,Cluster 13,Cluster 1,Cluster 23,Cluster 12,Cluster 22
12239,Cluster 0,Cluster 9,Cluster 4,Cluster 10,Cluster 17,Cluster 18
12245,Cluster 0,Cluster 14,Cluster 23,Cluster 4,Cluster 8,Cluster 7
12247,Cluster 0,Cluster 11,Cluster 3,Cluster 12,Cluster 12,Cluster 7
12313,Cluster 0,Cluster 6,Cluster 14,Cluster 22,Cluster 2,Cluster 11
12331,Cluster 0,Cluster 22,Cluster 7,Cluster 23,Cluster 12,Cluster 13
12366,Cluster 0,Cluster 10,Cluster 1,Cluster 12,Cluster 22,Cluster 3
12442,Cluster 0,Cluster 22,Cluster 1,Cluster 0,Cluster 7,Cluster 3
12453,Cluster 0,Cluster 22,Cluster 1,Cluster 6,Cluster 15,Cluster 0
12462,Cluster 0,Cluster 10,Cluster 11,Cluster 13,Cluster 8,Cluster 9
12468,Cluster 0,Cluster 16,Cluster 12,Cluster 9,Cluster 11,Cluster 19
12471,Cluster 0,Cluster 5,Cluster 12,Cluster 12,Cluster 1,Cluster 6
12472,Cluster 0,Cluster 22,Cluster 23,Cluster 11,Cluster 21,Cluster 14
12475,Cluster 0,Cluster 15,Cluster 7,Cluster 1,Cluster 20,Cluster 5
12479,Cluster 0,Cluster 11,Cluster 2,Cluster 20,Cluster 6,Cluster 7
12512,Cluster 0,Cluster 9,Cluster 3,Cluster 8,Cluster 1,Cluster 19
12517,Cluster 0,Cluster 23,Cluster 1,Cluster 20,Cluster 17,Cluster 13
12533,Cluster 0,Cluster 21,Cluster 22,Cluster 12,Cluster 4,Cluster 5
12545,Cluster 0,Cluster 11,Cluster 5,Cluster 23,Cluster 3,Cluster 6
12557,Cluster 0,Cluster 12,Cluster 1,Cluster 8,Cluster 22,Cluster 7
12828,Cluster 0,Cluster 6,Cluster 7,Cluster 12,Cluster 21,Cluster 4
12870,Cluster 0,Cluster 9,Cluster 19,Cluster 19,Cluster 2,Cluster 13
13106,Cluster 0,Cluster 3,Cluster 7,Cluster 20,Cluster 1,Cluster 13
13110,Cluster 0,Cluster 23,Cluster 13,Cluster 20,Cluster 8,Cluster 13
13141,Cluster 0,Cluster 20,Cluster 9,Cluster 4,Cluster 1,Cluster 0
13161,Cluster 0,Cluster 22,Cluster 11,Cluster 6,Cluster 7,Cluster 2
13251,Cluster 0,Cluster 6,Cluster 6,Cluster 18,Cluster 9,Cluster 3
13393,Cluster 0,Cluster 19,Cluster 22,Cluster 8,Cluster 6,Cluster 5
13403,Cluster 0,Cluster 21,Cluster 0,Cluster 18,,Cluster 20
13404,Cluster 0,Cluster 9,Cluster 4,Cluster 17,,Cluster 20
13407,Cluster 0,Cluster 12,Cluster 5,Cluster 15,Cluster 22,Cluster 8
13408,Cluster 0,Cluster 12,Cluster 7,Cluster 13,Cluster 22,Cluster 22
13410,Cluster 0,Cluster 12,Cluster 7,Cluster 15,Cluster 22,Cluster 1
13412,Cluster 0,Cluster 0,Cluster 14,Cluster 1,Cluster 5,Cluster 7
13424,Cluster 0,Cluster 3,Cluster 5,Cluster 23,Cluster 23,Cluster 13
13452,Cluster 0,Cluster 14,Cluster 9,Cluster 2,Cluster 10,Cluster 3
13476,Cluster 0,Cluster 0,Cluster 21,Cluster 1,Cluster 16,Cluster 23
13514,Cluster 0,Cluster 8,Cluster 6,Cluster 6,Cluster 21,Cluster 21
13536,Cluster 0,Cluster 20,Cluster 7,Cluster 13,Cluster 1,Cluster 8
13561,Cluster 0,Cluster 15,Cluster 14,Cluster 5,Cluster 8,Cluster 23
13567,Cluster 0,Cluster 18,Cluster 16,Cluster 19,Cluster 12,Cluster 9
13569,Cluster 0,Cluster 12,Cluster 21,Cluster 20,Cluster 4,Cluster 1
13653,Cluster 0,Cluster 15,Cluster 12,Cluster 3,Cluster 16,Cluster 1
13721,Cluster 0,Cluster 17,Cluster 5,Cluster 20,Cluster 22,Cluster 22
13914,Cluster 0,Cluster 21,Cluster 12,Cluster 19,Cluster 5,Cluster 5
14063,Cluster 0,Cluster 3,Cluster 1,Cluster 9,Cluster 17,Cluster 16
14472,Cluster 0,Cluster 14,Cluster 22,Cluster 20,Cluster 22,Cluster 7
14672,Cluster 0,Cluster 15,Cluster 9,Cluster 20,Cluster 6,Cluster 3
14713,Cluster 0,Cluster 5,Cluster 13,Cluster 15,Cluster 9,Cluster 8
14715,Cluster 0,Cluster 5,Cluster 23,Cluster 18,Cluster 23,Cluster 19
14716,Cluster 0,Cluster 6,Cluster 8,Cluster 0,Cluster 20,Cluster 4
14787,Cluster 0,Cluster 14,Cluster 18,Cluster 0,Cluster 23,Cluster 2
