,SecurityID,2019-02-28,2019-04-30,2019-06-30,2019-08-31,2019-10-31,2019-12-31
66,7158.0,Cluster 1,Cluster 2,Cluster 9,Cluster 29,Cluster 58,Cluster 0
67,7370.0,Cluster 1,Cluster 38,Cluster 49,Cluster 58,Cluster 58,Cluster 34
68,7392.0,Cluster 1,Cluster 97,Cluster 9,Cluster 29,Cluster 50,Cluster 15
69,7818.0,Cluster 1,Cluster 37,Cluster 9,Cluster 29,Cluster 9,Cluster 15
70,7830.0,Cluster 1,Cluster 29,Cluster 15,Cluster 29,Cluster 50,Cluster 12
71,8033.0,Cluster 1,Cluster 49,Cluster 3,Cluster 58,Cluster 24,Cluster 0
72,8086.0,Cluster 1,Cluster 1,Cluster 15,Cluster 14,Cluster 9,Cluster 12
73,8125.0,Cluster 1,Cluster 97,Cluster 9,Cluster 14,Cluster 11,Cluster 12
74,8448.0,Cluster 1,Cluster 29,Cluster 3,Cluster 29,Cluster 8,Cluster 1
75,8479.0,Cluster 1,Cluster 2,Cluster 21,Cluster 17,,
76,8488.0,Cluster 1,Cluster 97,Cluster 9,Cluster 29,Cluster 9,
77,8564.0,Cluster 1,Cluster 42,Cluster 107,Cluster 0,,
78,8624.0,Cluster 1,Cluster 29,Cluster 9,Cluster 14,Cluster 8,Cluster 34
79,8748.0,Cluster 1,Cluster 97,Cluster 9,Cluster 58,Cluster 24,Cluster 0
80,8915.0,Cluster 1,Cluster 61,Cluster 17,Cluster 10,Cluster 16,Cluster 10
81,8944.0,Cluster 1,Cluster 48,,Cluster 29,Cluster 81,Cluster 12
82,8976.0,Cluster 1,Cluster 102,,Cluster 28,Cluster 17,Cluster 12
83,8993.0,Cluster 1,Cluster 8,Cluster 28,Cluster 28,Cluster 6,Cluster 16
84,8999.0,Cluster 1,Cluster 1,Cluster 23,Cluster 14,Cluster 8,Cluster 34
85,9020.0,Cluster 1,Cluster 29,Cluster 9,Cluster 58,Cluster 58,Cluster 31
86,9194.0,Cluster 1,Cluster 2,Cluster 15,Cluster 59,Cluster 50,Cluster 34
87,9255.0,Cluster 1,Cluster 38,Cluster 9,Cluster 2,Cluster 8,Cluster 1
88,9350.0,Cluster 1,Cluster 97,Cluster 23,Cluster 14,Cluster 8,Cluster 12
89,9503.0,Cluster 1,Cluster 29,Cluster 9,Cluster 14,Cluster 58,Cluster 27
90,9654.0,Cluster 1,Cluster 1,Cluster 1,Cluster 28,Cluster 8,Cluster 47
91,9666.0,Cluster 1,Cluster 97,Cluster 9,Cluster 28,Cluster 8,Cluster 34
92,9711.0,Cluster 1,Cluster 29,Cluster 9,Cluster 58,Cluster 58,Cluster 2
93,9759.0,Cluster 1,Cluster 2,Cluster 15,Cluster 59,Cluster 9,Cluster 34
94,9985.0,Cluster 1,Cluster 97,Cluster 9,Cluster 28,Cluster 58,Cluster 12
95,10170.0,Cluster 1,Cluster 2,Cluster 9,Cluster 28,Cluster 50,Cluster 1
96,10634.0,Cluster 1,Cluster 9,Cluster 28,Cluster 29,Cluster 50,Cluster 15
97,11042.0,Cluster 1,Cluster 29,Cluster 28,Cluster 118,Cluster 50,Cluster 34
98,11345.0,Cluster 1,Cluster 49,,Cluster 8,Cluster 6,Cluster 4
99,11541.0,Cluster 1,Cluster 97,Cluster 9,Cluster 59,Cluster 50,Cluster 12
100,11671.0,Cluster 1,Cluster 59,,Cluster 93,Cluster 56,Cluster 59
101,11741.0,Cluster 1,Cluster 2,Cluster 30,Cluster 28,Cluster 50,Cluster 74
102,11768.0,Cluster 1,Cluster 97,Cluster 9,Cluster 14,Cluster 8,Cluster 78
103,11782.0,Cluster 1,Cluster 97,Cluster 15,Cluster 14,Cluster 6,
104,11790.0,Cluster 1,Cluster 1,Cluster 28,Cluster 26,Cluster 119,Cluster 0
105,11809.0,Cluster 1,Cluster 1,Cluster 5,Cluster 59,Cluster 50,Cluster 34
106,11814.0,Cluster 1,Cluster 97,Cluster 28,Cluster 14,Cluster 8,Cluster 34
107,11838.0,Cluster 1,Cluster 2,Cluster 9,Cluster 29,Cluster 28,Cluster 12
108,11887.0,Cluster 1,Cluster 2,Cluster 14,Cluster 58,Cluster 8,Cluster 12
109,11898.0,Cluster 1,Cluster 54,Cluster 23,Cluster 58,Cluster 58,Cluster 34
110,11954.0,Cluster 1,Cluster 97,Cluster 9,Cluster 29,Cluster 8,Cluster 34
111,11982.0,Cluster 1,,,,,
112,12090.0,Cluster 1,Cluster 29,Cluster 28,Cluster 29,Cluster 58,Cluster 27
113,12107.0,Cluster 1,Cluster 2,Cluster 15,Cluster 28,Cluster 4,Cluster 34
114,12117.0,Cluster 1,Cluster 1,Cluster 9,Cluster 58,Cluster 9,Cluster 12
115,12129.0,Cluster 1,Cluster 2,Cluster 9,Cluster 28,Cluster 24,Cluster 50
116,12159.0,Cluster 1,Cluster 1,Cluster 23,Cluster 14,Cluster 8,Cluster 15
117,12312.0,Cluster 1,Cluster 89,Cluster 15,Cluster 10,,
118,12348.0,Cluster 1,Cluster 97,Cluster 11,Cluster 28,Cluster 31,Cluster 45
119,12360.0,Cluster 1,Cluster 44,Cluster 45,Cluster 59,Cluster 6,Cluster 12
120,12459.0,Cluster 1,Cluster 2,Cluster 9,Cluster 59,Cluster 110,Cluster 0
121,13183.0,Cluster 1,Cluster 29,Cluster 15,Cluster 14,Cluster 8,Cluster 12
122,13259.0,Cluster 1,Cluster 97,Cluster 0,Cluster 37,Cluster 8,Cluster 0
123,13278.0,Cluster 1,Cluster 29,Cluster 9,Cluster 118,Cluster 8,Cluster 15
124,13309.0,Cluster 1,Cluster 97,Cluster 9,Cluster 0,Cluster 49,
125,13400.0,Cluster 1,Cluster 1,Cluster 0,Cluster 29,Cluster 24,Cluster 34
126,13515.0,Cluster 1,Cluster 29,Cluster 9,Cluster 14,Cluster 50,Cluster 0
127,13557.0,Cluster 1,Cluster 1,Cluster 11,Cluster 118,Cluster 8,Cluster 34
128,13591.0,Cluster 1,Cluster 15,Cluster 19,,,
129,14430.0,Cluster 1,Cluster 37,Cluster 15,Cluster 29,Cluster 58,Cluster 12
130,14479.0,Cluster 1,Cluster 2,Cluster 9,Cluster 58,Cluster 8,Cluster 12
131,14482.0,Cluster 1,Cluster 97,Cluster 9,Cluster 59,Cluster 8,Cluster 12
132,14488.0,Cluster 1,Cluster 97,Cluster 9,Cluster 59,Cluster 8,Cluster 12
133,14729.0,Cluster 1,Cluster 97,Cluster 6,Cluster 58,Cluster 8,Cluster 7
134,14740.0,Cluster 1,Cluster 2,Cluster 22,Cluster 58,Cluster 8,Cluster 10
135,14742.0,Cluster 1,Cluster 2,Cluster 22,Cluster 14,Cluster 4,Cluster 15
136,14748.0,Cluster 1,Cluster 2,Cluster 28,Cluster 12,Cluster 76,Cluster 34
137,14749.0,Cluster 1,Cluster 2,Cluster 3,Cluster 14,Cluster 8,Cluster 34
